DefaultSC.A1ModJulian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
21545.00000039794         7000                        0                           0                           0                            -1.034737378012107           7.474773493078592            
21545.00069484238         6985.343354668352           -62.04082228237078          448.1724315203338           -0.4883825536712583          -1.032568065012057           7.459078231477926            
21545.00138928683         6941.435394202578           -123.8216825615027          894.4629538681746           -0.9747003926552715          -1.026075110037417           7.412065776837478            
21545.00208373127         6868.461698142853           -185.0839117041639          1336.997949443218           -1.45689933228419            -1.015286580737554           7.333939022868584            
21545.00277817572         6766.730576943258           -245.5710786428583          1773.919998038729           -1.932944079401991           -1.000248977422336           7.22503474521384             
21545.00347262016         6636.671660682379           -305.0300892070437          2203.395858840456           -2.400827462135688           -0.9810269794533049          7.08582178769993             
21545.0041670646          6478.833940080519           -363.2122668969103          2623.624322894764           -2.858579445740618           -0.9577030976118431          6.916898563109742            
21545.00486150905         6293.883274555764           -419.8744100903774          3032.843895844768           -3.30427587221516            -0.9303772370191807          6.71898990066706             
21545.00555595349         6082.599385612624           -474.7798204781022          3429.340272882664           -3.73604686745829            -0.8991661761438193          6.492943279493605            
21545.00625039794         5845.872357023028           -527.6992978778945          3811.453570403188           -4.152084866801982           -0.8642029682161166          6.239724493115744            
21545.00694484238         5584.698665979417           -578.4120969777623          4177.585281687841           -4.550652217514715           -0.8256362719574899          5.960412794526251            
21545.00763928682         5300.176771639912           -626.7068419837664          4526.204927016044           -4.930088325050839           -0.7836296189140584          5.656195574265711            
21545.00833373127         4993.502289229951           -672.3823955925172          4855.856371798838           -5.28881631811624            -0.7383606248587468          5.328362625460011            
21545.00902817571         4665.96277911534            -715.2486791561618          5165.163789574677           -5.625349215747591           -0.6900201526994744          4.97830004977593             
21545.00972262016         4318.932181036153           -755.1274413484546          5452.837249911328           -5.938295587294566           -0.6388114341175579          4.607483856931115            
21545.0104170646          3953.86492402307            -791.8529730633378          5717.677914345579           -6.22636470321785            -0.5849491567809094          4.217473307859307            
21545.01111150905         3572.289742453387           -825.2727666731736          5958.582826396198           -6.488371180775666           -0.5286585234569874          3.809904048065137            
21545.01180595349         3175.803228299883           -855.2481181347983          6174.549284349506           -6.723239133815524           -0.4701742887190786          3.386481073312763            
21545.01250039794         2766.063148946208           -881.6546707522265          6364.678787898279           -6.930005839912493           -0.409739778230179           2.948971564801708            
21545.01319484238         2344.781559056628           -904.3828996813352          6528.180551784407           -7.107824940940365           -0.3476058948322577          2.499197625624496            
21545.01388928683         1913.717733967311           -923.3385364924268          6664.374581338617           -7.255969194814869           -0.2840301148988065          2.039028944804045            
21545.01458373127         1474.670950981624           -938.4429332912862          6772.694306225138           -7.373832796635461           -0.2192754776556197          1.570375409796777            
21545.01527817571         1029.473143871458           -949.6333660401618          6852.688769796792           -7.460933286839143           -0.1536095694684164          1.095179683227188            
21545.01597262016         579.9814548735455           -956.8632768205368          6904.024372269911           -7.516913062363049           -0.08730350446043339         0.6154097549804471           
21545.0166670646          128.0707075807613           -960.1024548446176          6926.486166472649           -7.541540504317248           -0.02063090228355033         0.1330514767852744           
21545.01736150905         -324.3741765881804          -959.337156058477           6919.97870524774            -7.534710732443004           0.0461331365607364           -0.3498989167882981          
21545.01805595349         -775.4657961623707          -954.5701611939351          6884.526439752193           -7.496445992841262           0.1127130577522961           -0.8314422993008632          
21545.01875039794         -1223.321899722792          -945.8207721266521          6820.273667948523           -7.426895681283386           0.1788338825967927           -1.309584155095084           
21545.01944484238         -1666.073006432233          -933.124746393098           6727.484032585615           -7.326336000053701           0.2442222399577964           -1.782342093624368           
21545.02013928683         -2101.869994832316          -916.5341697178794          6606.539567985334           -7.195169241922602           0.3086074006172593           -2.247753374682242           
21545.02083373127         -2528.891637239174          -896.1172664141606          6457.939295047218           -7.033922690713776           0.3717223137243665           -2.703882441930932           
21545.02152817572         -2945.35205632309           -871.9581475522023          6282.297364119742           -6.843247124213791           0.4333046445747255           -3.148828459294312           
21545.02222262016         -3349.508079505815          -844.1564968522641          6080.340745821239           -6.623914902074964           0.4930978124170668           -3.580732841018608           
21545.0229170646          -3739.666465695057          -812.8271943554254          5852.906470578866           -6.376817619069419           0.5508520263302084           -3.997786761628883           
21545.02361150905         -4114.190977652285          -778.0998780651977          5600.938418634651           -6.10296330273172            0.6063253164707952           -4.398238626770802           
